/net10 X,/net10 Y,/net9 X,/net9 Y,/net8 X,/net8 Y,/net7 X,/net7 Y,/net6 X,/net6 Y,/net5 X,/net5 Y,/net4 X,/net4 Y,/net3 X,/net3 Y,/net18 X,/net18 Y,/net17 X,/net17 Y,/net16 X,/net16 Y,/net15 X,/net15 Y,/net14 X,/net14 Y,/net13 X,/net13 Y,/net12 X,/net12 Y,/net11 X,/net11 Y,/net26 X,/net26 Y,/net25 X,/net25 Y,/net24 X,/net24 Y,/net23 X,/net23 Y,/net22 X,/net22 Y,/net21 X,/net21 Y,/net20 X,/net20 Y,/net19 X,/net19 Y,/net34 X,/net34 Y,/net33 X,/net33 Y,/net32 X,/net32 Y,/net31 X,/net31 Y,/net30 X,/net30 Y,/net29 X,/net29 Y,/net28 X,/net28 Y,/net27 X,/net27 Y,/net42 X,/net42 Y,/net41 X,/net41 Y,/net40 X,/net40 Y,/net39 X,/net39 Y,/net38 X,/net38 Y,/net37 X,/net37 Y,/net36 X,/net36 Y,/net35 X,/net35 Y,/net50 X,/net50 Y,/net49 X,/net49 Y,/net48 X,/net48 Y,/net47 X,/net47 Y,/net46 X,/net46 Y,/net45 X,/net45 Y,/net44 X,/net44 Y,/net43 X,/net43 Y,/net58 X,/net58 Y,/net57 X,/net57 Y,/net56 X,/net56 Y,/net55 X,/net55 Y,/net54 X,/net54 Y,/net53 X,/net53 Y,/net52 X,/net52 Y,/net51 X,/net51 Y,/net076 X,/net076 Y,/net075 X,/net075 Y,/net64 X,/net64 Y,/net63 X,/net63 Y,/net62 X,/net62 Y,/net61 X,/net61 Y,/net60 X,/net60 Y,/net59 X,/net59 Y,/net69 X,/net69 Y,/net067 X,/net067 Y
2.5e-07,1.318483670739061e-06,2.5e-07,1.199830567354515,2.5e-07,1.318483677666699e-06,2.5e-07,1.199830567354512,2.5e-07,1.318483672730453e-06,2.5e-07,1.199830567354512,2.5e-07,1.318483533133304e-06,2.5e-07,1.199830567354231,2.5e-07,1.199830567354513,2.5e-07,1.318484032236688e-06,2.5e-07,1.199830567354232,2.5e-07,1.318483841253259e-06,2.5e-07,1.199830567354227,2.5e-07,1.318483713136539e-06,2.5e-07,1.199830567354232,2.5e-07,1.318483529910331e-06,2.5e-07,1.318483777822139e-06,2.5e-07,1.19983056735423,2.5e-07,1.318483858386005e-06,2.5e-07,1.199830567354232,2.5e-07,1.318483873605253e-06,2.5e-07,1.19983056735423,2.5e-07,1.318483738576989e-06,2.5e-07,1.199830567354512,2.5e-07,1.199830567354513,2.5e-07,1.31848370047945e-06,2.5e-07,1.199830567354229,2.5e-07,1.318483830422879e-06,2.5e-07,1.199830567354228,2.5e-07,1.318483740551014e-06,2.5e-07,1.199830567354231,2.5e-07,1.318483762123357e-06,2.5e-07,1.318483775586848e-06,2.5e-07,1.199830567354232,2.5e-07,1.318483801234852e-06,2.5e-07,1.19983056735423,2.5e-07,1.318483828421731e-06,2.5e-07,1.199830567354232,2.5e-07,1.318483695823488e-06,2.5e-07,1.199830567354512,2.5e-07,1.199830567354513,2.5e-07,1.318483702477155e-06,2.5e-07,1.199830567354232,2.5e-07,1.318483828587137e-06,2.5e-07,1.199830567354234,2.5e-07,1.318483738890649e-06,2.5e-07,1.199830567354229,2.5e-07,1.3184837632111e-06,2.5e-07,1.318483748298936e-06,2.5e-07,1.199830567354232,2.5e-07,1.318483773664663e-06,2.5e-07,1.199830567354233,2.5e-07,1.318483795162811e-06,2.5e-07,1.199830567354233,2.5e-07,1.318483692731752e-06,2.5e-07,1.199830567354514,2.5e-07,1.199830567354231,2.5e-07,1.318483648054414e-06,2.5e-07,1.199830567354514,2.5e-07,1.31848382311107e-06,2.5e-07,1.199830567354512,2.5e-07,1.318483760964753e-06,2.5e-07,1.199830567354513,2.5e-07,1.318483866910955e-06,2.5e-07,1.2,2.5e-07,0
1.25e-06,1.324493447918052e-06,1.25e-06,1.199830567354515,1.25e-06,1.199830567354513,1.25e-06,1.199830567354515,1.25e-06,1.199830567354513,1.25e-06,1.199830567354514,1.25e-06,1.199830567354513,1.25e-06,1.326352386098091e-06,1.25e-06,1.199830567354513,1.25e-06,1.342697942126055e-06,1.25e-06,1.318418146879078e-06,1.25e-06,1.351049792384728e-06,1.25e-06,1.318419556963951e-06,1.25e-06,1.347444946449041e-06,1.25e-06,1.322368865721896e-06,1.25e-06,1.199830567355483,1.25e-06,1.199830567354513,1.25e-06,1.331470630539929e-06,1.25e-06,1.344451106882395e-06,1.25e-06,1.326332884453557e-06,1.25e-06,1.338632678453075e-06,1.25e-06,1.326311971940878e-06,1.25e-06,1.334046308077319e-06,1.25e-06,1.199830567354512,1.25e-06,1.199830567354513,1.25e-06,1.355392213844748e-06,1.25e-06,1.32137913628114e-06,1.25e-06,1.359428043002022e-06,1.25e-06,1.320160446274499e-06,1.25e-06,1.359693883598838e-06,1.25e-06,1.325778948807085e-06,1.25e-06,1.199830567354511,1.25e-06,1.199830567354513,1.25e-06,1.327008747051468e-06,1.25e-06,1.354470082447826e-06,1.25e-06,1.320362346336319e-06,1.25e-06,1.359649972776936e-06,1.25e-06,1.326253100683029e-06,1.25e-06,1.345695891693549e-06,1.25e-06,1.199830567354512,1.25e-06,1.199830567354513,1.25e-06,1.354782608554964e-06,1.25e-06,1.321630764942984e-06,1.25e-06,1.359465218857285e-06,1.25e-06,1.320481151750737e-06,1.25e-06,1.359436234958384e-06,1.25e-06,1.322771720777268e-06,1.25e-06,1.19983056735451,1.25e-06,1.199830567354512,1.25e-06,1.335112982632511e-06,1.25e-06,1.338471654468154e-06,1.25e-06,1.320968103496483e-06,1.25e-06,1.343276921824623e-06,1.25e-06,1.32630206236731e-06,1.25e-06,1.330370629260662e-06,1.25e-06,1.199830567354514,1.25e-06,1.330334814299595e-06,1.25e-06,1.199830567356291,1.25e-06,1.199830567356398,1.25e-06,1.199830567354905,1.25e-06,1.199830567356446,1.25e-06,1.199830567355428,1.25e-06,1.199830567355417,1.25e-06,1.33129324425319e-06,1.25e-06,1.2,1.25e-06,0
2.25e-06,1.318483520737698e-06,2.25e-06,1.199830567354505,2.25e-06,1.199830567354237,2.25e-06,1.199830567354237,2.25e-06,1.199830567354238,2.25e-06,1.199830567354236,2.25e-06,1.199830567354506,2.25e-06,1.318483527477291e-06,2.25e-06,1.199830567354513,2.25e-06,1.394631541995046e-06,2.25e-06,1.199830567354233,2.25e-06,1.199830567354236,2.25e-06,1.199830567354231,2.25e-06,1.199830567354223,2.25e-06,1.39387348186843e-06,2.25e-06,1.199830567354513,2.25e-06,1.199830567354263,2.25e-06,1.199830567350324,2.25e-06,1.364704405531533e-06,2.25e-06,1.318484795888423e-06,2.25e-06,1.400599202783415e-06,2.25e-06,1.45182556003829e-06,2.25e-06,1.199830567350367,2.25e-06,1.199830567354239,2.25e-06,1.199830567354255,2.25e-06,1.199830567354238,2.25e-06,1.347938470749398e-06,2.25e-06,1.344975700383534e-06,2.25e-06,1.379181681321304e-06,2.25e-06,1.349403602781743e-06,2.25e-06,1.199830567354235,2.25e-06,1.19983056735424,2.25e-06,1.199830567354257,2.25e-06,1.199830567354238,2.25e-06,1.318481289223329e-06,2.25e-06,1.318481372160566e-06,2.25e-06,1.410685415099811e-06,2.25e-06,1.380054485097557e-06,2.25e-06,1.199830567354237,2.25e-06,1.199830567354238,2.25e-06,1.19983056735431,2.25e-06,1.199830567354217,2.25e-06,1.318456359478975e-06,2.25e-06,1.318483224213281e-06,2.25e-06,1.379147264627878e-06,2.25e-06,1.348662147731029e-06,2.25e-06,1.199830567354227,2.25e-06,1.19983056735424,2.25e-06,1.199830567354512,2.25e-06,1.511889247871794e-06,2.25e-06,1.19983056735424,2.25e-06,1.199830567354243,2.25e-06,1.199830567351122,2.25e-06,1.199830567352679,2.25e-06,1.440255472360696e-06,2.25e-06,1.199830567354511,2.25e-06,1.397702967349037e-06,2.25e-06,1.199830567344672,2.25e-06,1.19983056735425,2.25e-06,1.199830567354244,2.25e-06,1.199830567354244,2.25e-06,1.199830567354242,2.25e-06,1.199830567348361,2.25e-06,1.351010154721001e-06,2.25e-06,1.2,2.25e-06,0
3.249999999999999e-06,1.336121820166077e-06,3.249999999999999e-06,1.199830567354241,3.249999999999999e-06,1.334298847622288e-06,3.249999999999999e-06,1.343398600419324e-06,3.249999999999999e-06,1.34484391535328e-06,3.249999999999999e-06,1.344532632277563e-06,3.249999999999999e-06,1.19983056735425,3.249999999999999e-06,1.318483526430733e-06,3.249999999999999e-06,1.199830567354263,3.249999999999999e-06,1.351973985064915e-06,3.249999999999999e-06,1.317452955739116e-06,3.249999999999999e-06,1.317448008402706e-06,3.249999999999999e-06,1.31662291649326e-06,3.249999999999999e-06,1.316202472344438e-06,3.249999999999999e-06,1.334912214747478e-06,3.249999999999999e-06,1.199830567354266,3.249999999999999e-06,1.317643800764138e-06,3.249999999999999e-06,1.33528438192217e-06,3.249999999999999e-06,1.350139735441883e-06,3.249999999999999e-06,1.199830567354498,3.249999999999999e-06,1.199830567350492,3.249999999999999e-06,1.368244060411781e-06,3.249999999999999e-06,1.345435971161094e-06,3.249999999999999e-06,1.317835116943304e-06,3.249999999999999e-06,1.318333102991196e-06,3.249999999999999e-06,1.317558632107876e-06,3.249999999999999e-06,1.199830567338329,3.249999999999999e-06,1.366868861509865e-06,3.249999999999999e-06,1.350550562361714e-06,3.249999999999999e-06,1.199830567331206,3.249999999999999e-06,1.330882519366019e-06,3.249999999999999e-06,1.326167872156817e-06,3.249999999999999e-06,1.338719967899987e-06,3.249999999999999e-06,1.317039244487454e-06,3.249999999999999e-06,1.199830567354478,3.249999999999999e-06,1.365538535489915e-06,3.249999999999999e-06,1.333259886092047e-06,3.249999999999999e-06,1.199830567354485,3.249999999999999e-06,1.330510123808214e-06,3.249999999999999e-06,1.342061120070993e-06,3.249999999999999e-06,1.353654761926308e-06,3.249999999999999e-06,1.315276302693241e-06,3.249999999999999e-06,1.399148208077897e-06,3.249999999999999e-06,1.199830567330242,3.249999999999999e-06,1.199830567346081,3.249999999999999e-06,1.400026968093254e-06,3.249999999999999e-06,1.331183528914174e-06,3.249999999999999e-06,1.34227214564333e-06,3.249999999999999e-06,1.19983056735427,3.249999999999999e-06,1.348391866345886e-06,3.249999999999999e-06,1.334054148779685e-06,3.249999999999999e-06,1.326578419318378e-06,3.249999999999999e-06,1.320500772786501e-06,3.249999999999999e-06,1.33381197467143e-06,3.249999999999999e-06,1.336452291651704e-06,3.249999999999999e-06,1.199830567342107,3.249999999999999e-06,1.333823646665425e-06,3.249999999999999e-06,1.199830567337678,3.249999999999999e-06,1.357075097530161e-06,3.249999999999999e-06,1.357605755969057e-06,3.249999999999999e-06,1.342382721374782e-06,3.249999999999999e-06,1.333712451874344e-06,3.249999999999999e-06,1.199830567341431,3.249999999999999e-06,1.334376191694765e-06,3.249999999999999e-06,1.2,3.249999999999999e-06,0
4.249999999999999e-06,1.320794203950737e-06,4.249999999999999e-06,1.320268716641946e-06,4.249999999999999e-06,1.318483897689896e-06,4.249999999999999e-06,1.318483712808682e-06,4.249999999999999e-06,1.320755577524712e-06,4.249999999999999e-06,1.319626663580194e-06,4.249999999999999e-06,1.320268890195403e-06,4.249999999999999e-06,1.319624362474627e-06,4.249999999999999e-06,1.318325207417929e-06,4.249999999999999e-06,1.322596979544664e-06,4.249999999999999e-06,1.320718304378696e-06,4.249999999999999e-06,1.319598463999062e-06,4.249999999999999e-06,1.320711049502313e-06,4.249999999999999e-06,1.32071321305137e-06,4.249999999999999e-06,1.324091856388048e-06,4.249999999999999e-06,1.320268604181738e-06,4.249999999999999e-06,1.319670596037782e-06,4.249999999999999e-06,1.320473732248442e-06,4.249999999999999e-06,1.319598967752503e-06,4.249999999999999e-06,1.199830567354029,4.249999999999999e-06,1.19983056735354,4.249999999999999e-06,1.319599564010637e-06,4.249999999999999e-06,1.320721877365381e-06,4.249999999999999e-06,1.319620936953516e-06,4.249999999999999e-06,1.320749425047233e-06,4.249999999999999e-06,1.320704296475312e-06,4.249999999999999e-06,1.199830567354029,4.249999999999999e-06,1.318483525960491e-06,4.249999999999999e-06,1.31848352560709e-06,4.249999999999999e-06,1.199830567354029,4.249999999999999e-06,1.319600044376517e-06,4.249999999999999e-06,1.319616797162103e-06,4.249999999999999e-06,1.318483525652463e-06,4.249999999999999e-06,1.318483798277569e-06,4.249999999999999e-06,1.199830567354513,4.249999999999999e-06,1.318483526525574e-06,4.249999999999999e-06,1.318483524490087e-06,4.249999999999999e-06,1.199830567354513,4.249999999999999e-06,1.318483840061872e-06,4.249999999999999e-06,1.318483826055834e-06,4.249999999999999e-06,1.318483525818024e-06,4.249999999999999e-06,1.318484864071388e-06,4.249999999999999e-06,1.318483530003639e-06,4.249999999999999e-06,1.199830567354513,4.249999999999999e-06,1.199830567354513,4.249999999999999e-06,1.319602457779305e-06,4.249999999999999e-06,1.319608950397243e-06,4.249999999999999e-06,1.319611188631645e-06,4.249999999999999e-06,1.319082913165901e-06,4.249999999999999e-06,1.32071531860762e-06,4.249999999999999e-06,1.318484444028755e-06,4.249999999999999e-06,1.318483527506998e-06,4.249999999999999e-06,1.319601995884626e-06,4.249999999999999e-06,1.321844708898695e-06,4.249999999999999e-06,1.321845517606541e-06,4.249999999999999e-06,1.320267338651662e-06,4.249999999999999e-06,1.320794010941504e-06,4.249999999999999e-06,1.320266335745431e-06,4.249999999999999e-06,1.317415445371818e-06,4.249999999999999e-06,1.318483514915913e-06,4.249999999999999e-06,1.319618980888324e-06,4.249999999999999e-06,1.32074963058539e-06,4.249999999999999e-06,1.319548578794029e-06,4.249999999999999e-06,1.320410859530656e-06,4.249999999999999e-06,1.2,4.249999999999999e-06,0
5.249999999999999e-06,1.318483634246804e-06,5.249999999999999e-06,1.318483713318089e-06,5.249999999999999e-06,1.318483713911732e-06,5.249999999999999e-06,1.318483712594893e-06,5.249999999999999e-06,1.318483713895199e-06,5.249999999999999e-06,1.318483711490065e-06,5.249999999999999e-06,1.318483712210556e-06,5.249999999999999e-06,1.318483619722612e-06,5.249999999999999e-06,1.31848372762242e-06,5.249999999999999e-06,1.318483947603383e-06,5.249999999999999e-06,1.318483976299942e-06,5.249999999999999e-06,1.318483928996583e-06,5.249999999999999e-06,1.318483900493877e-06,5.249999999999999e-06,1.318483920294665e-06,5.249999999999999e-06,1.318483919974964e-06,5.249999999999999e-06,1.318483712619435e-06,5.249999999999999e-06,1.318483756109168e-06,5.249999999999999e-06,1.3184840018383e-06,5.249999999999999e-06,1.318483954032736e-06,5.249999999999999e-06,1.199830567355703,5.249999999999999e-06,1.199830567355708,5.249999999999999e-06,1.318483928361773e-06,5.249999999999999e-06,1.318483947913189e-06,5.249999999999999e-06,1.318483713177575e-06,5.249999999999999e-06,1.318483754631809e-06,5.249999999999999e-06,1.318484006239194e-06,5.249999999999999e-06,1.199830567355707,5.249999999999999e-06,1.318483981152745e-06,5.249999999999999e-06,1.318484035814865e-06,5.249999999999999e-06,1.199830567355705,5.249999999999999e-06,1.318483948532548e-06,5.249999999999999e-06,1.318483739896704e-06,5.249999999999999e-06,1.318483780510782e-06,5.249999999999999e-06,1.318484033913124e-06,5.249999999999999e-06,1.199830567355742,5.249999999999999e-06,1.318483981080402e-06,5.249999999999999e-06,1.318484037084574e-06,5.249999999999999e-06,1.19983056735574,5.249999999999999e-06,1.318483921724643e-06,5.249999999999999e-06,1.318483714328315e-06,5.249999999999999e-06,1.318483754546423e-06,5.249999999999999e-06,1.318483975869774e-06,5.249999999999999e-06,1.318483984477871e-06,5.249999999999999e-06,1.199830567355709,5.249999999999999e-06,1.199830567355707,5.249999999999999e-06,1.318483958651241e-06,5.249999999999999e-06,1.318483918783514e-06,5.249999999999999e-06,1.318483714519696e-06,5.249999999999999e-06,1.318483754554042e-06,5.249999999999999e-06,1.31848397794598e-06,5.249999999999999e-06,1.318483948995383e-06,5.249999999999999e-06,1.31848392606188e-06,5.249999999999999e-06,1.318483955592742e-06,5.249999999999999e-06,1.318483946575903e-06,5.249999999999999e-06,1.318483949142211e-06,5.249999999999999e-06,1.318483736142547e-06,5.249999999999999e-06,1.318483631302831e-06,5.249999999999999e-06,1.318483739855819e-06,5.249999999999999e-06,1.318483738256809e-06,5.249999999999999e-06,1.318483739035992e-06,5.249999999999999e-06,1.318483738116452e-06,5.249999999999999e-06,1.318483738490441e-06,5.249999999999999e-06,1.318483738606952e-06,5.249999999999999e-06,1.318483619874211e-06,5.249999999999999e-06,1.2,5.249999999999999e-06,0
6.249999999999999e-06,1.318483632705066e-06,6.249999999999999e-06,1.31848371269283e-06,6.249999999999999e-06,1.318483713877376e-06,6.249999999999999e-06,1.318483714499223e-06,6.249999999999999e-06,1.31848371311115e-06,6.249999999999999e-06,1.318483713281307e-06,6.249999999999999e-06,1.318483713112924e-06,6.249999999999999e-06,1.318483618928297e-06,6.249999999999999e-06,1.318483728050174e-06,6.249999999999999e-06,1.318483949767563e-06,6.249999999999999e-06,1.318483977270871e-06,6.249999999999999e-06,1.318483931701224e-06,6.249999999999999e-06,1.318483897915502e-06,6.249999999999999e-06,1.318483919743172e-06,6.249999999999999e-06,1.31848392180579e-06,6.249999999999999e-06,1.318483713995699e-06,6.249999999999999e-06,1.318483754504177e-06,6.249999999999999e-06,1.318484002126348e-06,6.249999999999999e-06,1.318483953428316e-06,6.249999999999999e-06,1.199830567355704,6.249999999999999e-06,1.199830567355706,6.249999999999999e-06,1.318483930295098e-06,6.249999999999999e-06,1.318483948282169e-06,6.249999999999999e-06,1.31848371284615e-06,6.249999999999999e-06,1.318483753234912e-06,6.249999999999999e-06,1.318484004960425e-06,6.249999999999999e-06,1.199830567355705,6.249999999999999e-06,1.318483981665228e-06,6.249999999999999e-06,1.318484036168715e-06,6.249999999999999e-06,1.199830567355707,6.249999999999999e-06,1.318483948362797e-06,6.249999999999999e-06,1.318483737080667e-06,6.249999999999999e-06,1.31848377797381e-06,6.249999999999999e-06,1.318484028977377e-06,6.249999999999999e-06,1.199830567355741,6.249999999999999e-06,1.318483982085248e-06,6.249999999999999e-06,1.318484037367601e-06,6.249999999999999e-06,1.199830567355739,6.249999999999999e-06,1.318483922835327e-06,6.249999999999999e-06,1.318483712232682e-06,6.249999999999999e-06,1.318483755334442e-06,6.249999999999999e-06,1.318483975555569e-06,6.249999999999999e-06,1.318483982332353e-06,6.249999999999999e-06,1.199830567355709,6.249999999999999e-06,1.199830567355708,6.249999999999999e-06,1.318483956932873e-06,6.249999999999999e-06,1.318483921289317e-06,6.249999999999999e-06,1.31848371363595e-06,6.249999999999999e-06,1.318483753093458e-06,6.249999999999999e-06,1.318483977288653e-06,6.249999999999999e-06,1.318483951631637e-06,6.249999999999999e-06,1.31848392871536e-06,6.249999999999999e-06,1.318483955009211e-06,6.249999999999999e-06,1.318483947868653e-06,6.249999999999999e-06,1.318483948695111e-06,6.249999999999999e-06,1.318483739403876e-06,6.249999999999999e-06,1.318483632439966e-06,6.249999999999999e-06,1.318483741075063e-06,6.249999999999999e-06,1.318483737328678e-06,6.249999999999999e-06,1.318483741208996e-06,6.249999999999999e-06,1.318483741854842e-06,6.249999999999999e-06,1.318483739786465e-06,6.249999999999999e-06,1.318483738342179e-06,6.249999999999999e-06,1.318483620581559e-06,6.249999999999999e-06,1.2,6.249999999999999e-06,0
7.249999999999998e-06,1.318483633909343e-06,7.249999999999998e-06,1.318483713091525e-06,7.249999999999998e-06,1.318483712259929e-06,7.249999999999998e-06,1.318483712991772e-06,7.249999999999998e-06,1.31848371322456e-06,7.249999999999998e-06,1.318483712676098e-06,7.249999999999998e-06,1.318483712700256e-06,7.249999999999998e-06,1.318483621766359e-06,7.249999999999998e-06,1.318483729929674e-06,7.249999999999998e-06,1.318483950634486e-06,7.249999999999998e-06,1.318483975093654e-06,7.249999999999998e-06,1.318483931269485e-06,7.249999999999998e-06,1.318483904175939e-06,7.249999999999998e-06,1.318483919002864e-06,7.249999999999998e-06,1.31848392083646e-06,7.249999999999998e-06,1.318483713976727e-06,7.249999999999998e-06,1.318483755607404e-06,7.249999999999998e-06,1.318484002329968e-06,7.249999999999998e-06,1.318483956247734e-06,7.249999999999998e-06,1.199830567355705,7.249999999999998e-06,1.199830567355707,7.249999999999998e-06,1.318483927797152e-06,7.249999999999998e-06,1.318483950063837e-06,7.249999999999998e-06,1.318483713764381e-06,7.249999999999998e-06,1.318483752922771e-06,7.249999999999998e-06,1.318484005086885e-06,7.249999999999998e-06,1.199830567355706,7.249999999999998e-06,1.318483981870767e-06,7.249999999999998e-06,1.318484036664649e-06,7.249999999999998e-06,1.199830567355709,7.249999999999998e-06,1.318483951582374e-06,7.249999999999998e-06,1.318483740071513e-06,7.249999999999998e-06,1.318483781638989e-06,7.249999999999998e-06,1.318484033092548e-06,7.249999999999998e-06,1.199830567355743,7.249999999999998e-06,1.318483981383554e-06,7.249999999999998e-06,1.318484035831505e-06,7.249999999999998e-06,1.199830567355739,7.249999999999998e-06,1.318483922031728e-06,7.249999999999998e-06,1.318483712073365e-06,7.249999999999998e-06,1.318483755057419e-06,7.249999999999998e-06,1.31848397662332e-06,7.249999999999998e-06,1.318483982916804e-06,7.249999999999998e-06,1.199830567355708,7.249999999999998e-06,1.199830567355708,7.249999999999998e-06,1.318483954249981e-06,7.249999999999998e-06,1.318483918060167e-06,7.249999999999998e-06,1.318483712180172e-06,7.249999999999998e-06,1.318483754196077e-06,7.249999999999998e-06,1.318483976349112e-06,7.249999999999998e-06,1.318483948613748e-06,7.249999999999998e-06,1.318483927943895e-06,7.249999999999998e-06,1.318483957722833e-06,7.249999999999998e-06,1.31848394874303e-06,7.249999999999998e-06,1.318483949449491e-06,7.249999999999998e-06,1.31848373742908e-06,7.249999999999998e-06,1.318483632896302e-06,7.249999999999998e-06,1.318483738698403e-06,7.249999999999998e-06,1.318483741131638e-06,7.249999999999998e-06,1.318483740688397e-06,7.249999999999998e-06,1.318483741810076e-06,7.249999999999998e-06,1.318483740360332e-06,7.249999999999998e-06,1.318483739006133e-06,7.249999999999998e-06,1.318483622307115e-06,7.249999999999998e-06,1.2,7.249999999999998e-06,0
8.249999999999999e-06,1.318483633551573e-06,8.249999999999999e-06,1.318483713398373e-06,8.249999999999999e-06,1.318483714373375e-06,8.249999999999999e-06,1.318483712703137e-06,8.249999999999999e-06,1.318483712056459e-06,8.249999999999999e-06,1.318483714875746e-06,8.249999999999999e-06,1.318483713933318e-06,8.249999999999999e-06,1.318483619425338e-06,8.249999999999999e-06,1.318483728948764e-06,8.249999999999999e-06,1.318483950962042e-06,8.249999999999999e-06,1.31848397613844e-06,8.249999999999999e-06,1.318483927526559e-06,8.249999999999999e-06,1.318483902119934e-06,8.249999999999999e-06,1.318483922275756e-06,8.249999999999999e-06,1.318483923007582e-06,8.249999999999999e-06,1.318483714069889e-06,8.249999999999999e-06,1.318483754287194e-06,8.249999999999999e-06,1.318484003235032e-06,8.249999999999999e-06,1.318483955764845e-06,8.249999999999999e-06,1.199830567355702,8.249999999999999e-06,1.199830567355706,8.249999999999999e-06,1.31848392786813e-06,8.249999999999999e-06,1.318483951585928e-06,8.249999999999999e-06,1.318483715251662e-06,8.249999999999999e-06,1.318483754416394e-06,8.249999999999999e-06,1.318484006257908e-06,8.249999999999999e-06,1.199830567355706,8.249999999999999e-06,1.318483983043214e-06,8.249999999999999e-06,1.318484036960665e-06,8.249999999999999e-06,1.199830567355707,8.249999999999999e-06,1.318483952172599e-06,8.249999999999999e-06,1.318483739506452e-06,8.249999999999999e-06,1.318483779852651e-06,8.249999999999999e-06,1.318484030653817e-06,8.249999999999999e-06,1.199830567355743,8.249999999999999e-06,1.318483981584446e-06,8.249999999999999e-06,1.318484037389407e-06,8.249999999999999e-06,1.199830567355738,8.249999999999999e-06,1.318483922198413e-06,8.249999999999999e-06,1.318483714047646e-06,8.249999999999999e-06,1.318483752669819e-06,8.249999999999999e-06,1.318483976211688e-06,8.249999999999999e-06,1.318483984615653e-06,8.249999999999999e-06,1.199830567355709,8.249999999999999e-06,1.199830567355709,8.249999999999999e-06,1.318483954878775e-06,8.249999999999999e-06,1.318483918364138e-06,8.249999999999999e-06,1.318483713759414e-06,8.249999999999999e-06,1.318483755015074e-06,8.249999999999999e-06,1.318483975369859e-06,8.249999999999999e-06,1.318483948050409e-06,8.249999999999999e-06,1.318483927651196e-06,8.249999999999999e-06,1.31848395897538e-06,8.249999999999999e-06,1.318483947563309e-06,8.249999999999999e-06,1.318483952383982e-06,8.249999999999999e-06,1.3184837379366e-06,8.249999999999999e-06,1.318483632235428e-06,8.249999999999999e-06,1.318483738642328e-06,8.249999999999999e-06,1.318483739406663e-06,8.249999999999999e-06,1.318483738994818e-06,8.249999999999999e-06,1.318483739019287e-06,8.249999999999999e-06,1.318483739415349e-06,8.249999999999999e-06,1.318483741402475e-06,8.249999999999999e-06,1.318483619436074e-06,8.249999999999999e-06,1.2,8.249999999999999e-06,0
9.25e-06,1.318483634101576e-06,9.25e-06,1.318483712661276e-06,9.25e-06,1.318483712693074e-06,9.25e-06,1.318483713599243e-06,9.25e-06,1.318483713647379e-06,9.25e-06,1.318483714241188e-06,9.25e-06,1.318483712051421e-06,9.25e-06,1.318483618482388e-06,9.25e-06,1.318483728461298e-06,9.25e-06,1.318483949556042e-06,9.25e-06,1.318483975534159e-06,9.25e-06,1.318483927732048e-06,9.25e-06,1.318483905179693e-06,9.25e-06,1.318483920955236e-06,9.25e-06,1.318483920542346e-06,9.25e-06,1.318483714052446e-06,9.25e-06,1.31848375417686e-06,9.25e-06,1.318484004294706e-06,9.25e-06,1.31848395597661e-06,9.25e-06,1.199830567355702,9.25e-06,1.199830567355706,9.25e-06,1.318483928166894e-06,9.25e-06,1.318483947606359e-06,9.25e-06,1.318483714322941e-06,9.25e-06,1.318483753615953e-06,9.25e-06,1.318484002996551e-06,9.25e-06,1.199830567355708,9.25e-06,1.318483981932787e-06,9.25e-06,1.318484033847208e-06,9.25e-06,1.199830567355707,9.25e-06,1.318483949801113e-06,9.25e-06,1.318483739673971e-06,9.25e-06,1.318483780228574e-06,9.25e-06,1.318484034487315e-06,9.25e-06,1.199830567355742,9.25e-06,1.318483980331962e-06,9.25e-06,1.318484035370046e-06,9.25e-06,1.19983056735574,9.25e-06,1.318483923121222e-06,9.25e-06,1.31848371463443e-06,9.25e-06,1.318483755322102e-06,9.25e-06,1.318483974473619e-06,9.25e-06,1.318483984276082e-06,9.25e-06,1.199830567355707,9.25e-06,1.19983056735571,9.25e-06,1.318483957052427e-06,9.25e-06,1.318483921110971e-06,9.25e-06,1.318483712394947e-06,9.25e-06,1.318483754122916e-06,9.25e-06,1.318483974503172e-06,9.25e-06,1.318483950953649e-06,9.25e-06,1.318483931617059e-06,9.25e-06,1.318483954308585e-06,9.25e-06,1.318483947025175e-06,9.25e-06,1.318483948524569e-06,9.25e-06,1.318483739355916e-06,9.25e-06,1.318483635096087e-06,9.25e-06,1.318483739885879e-06,9.25e-06,1.318483739967796e-06,9.25e-06,1.318483738420985e-06,9.25e-06,1.318483739484852e-06,9.25e-06,1.318483738647606e-06,9.25e-06,1.318483739676029e-06,9.25e-06,1.318483622221054e-06,9.25e-06,1.2,9.25e-06,0
