/net10 X,/net10 Y,/net9 X,/net9 Y,/net8 X,/net8 Y,/net7 X,/net7 Y,/net6 X,/net6 Y,/net5 X,/net5 Y,/net4 X,/net4 Y,/net3 X,/net3 Y,/net18 X,/net18 Y,/net17 X,/net17 Y,/net16 X,/net16 Y,/net15 X,/net15 Y,/net14 X,/net14 Y,/net13 X,/net13 Y,/net12 X,/net12 Y,/net11 X,/net11 Y,/net26 X,/net26 Y,/net25 X,/net25 Y,/net24 X,/net24 Y,/net23 X,/net23 Y,/net22 X,/net22 Y,/net21 X,/net21 Y,/net20 X,/net20 Y,/net19 X,/net19 Y,/net34 X,/net34 Y,/net33 X,/net33 Y,/net32 X,/net32 Y,/net31 X,/net31 Y,/net30 X,/net30 Y,/net29 X,/net29 Y,/net28 X,/net28 Y,/net27 X,/net27 Y,/net42 X,/net42 Y,/net41 X,/net41 Y,/net40 X,/net40 Y,/net39 X,/net39 Y,/net38 X,/net38 Y,/net37 X,/net37 Y,/net36 X,/net36 Y,/net35 X,/net35 Y,/net50 X,/net50 Y,/net49 X,/net49 Y,/net48 X,/net48 Y,/net47 X,/net47 Y,/net46 X,/net46 Y,/net45 X,/net45 Y,/net44 X,/net44 Y,/net43 X,/net43 Y,/net58 X,/net58 Y,/net57 X,/net57 Y,/net56 X,/net56 Y,/net55 X,/net55 Y,/net54 X,/net54 Y,/net53 X,/net53 Y,/net52 X,/net52 Y,/net51 X,/net51 Y,/net076 X,/net076 Y,/net075 X,/net075 Y,/net64 X,/net64 Y,/net63 X,/net63 Y,/net62 X,/net62 Y,/net61 X,/net61 Y,/net60 X,/net60 Y,/net59 X,/net59 Y,/net69 X,/net69 Y,/net067 X,/net067 Y
2.5e-07,1.318483524572178e-06,2.5e-07,1.318483531221331e-06,2.5e-07,1.318483532263712e-06,2.5e-07,1.318483532813334e-06,2.5e-07,1.318483525635488e-06,2.5e-07,1.318483526916832e-06,2.5e-07,1.318483528376785e-06,2.5e-07,1.318483527507957e-06,2.5e-07,1.318483506075261e-06,2.5e-07,1.31848349375088e-06,2.5e-07,1.318483461828614e-06,2.5e-07,1.318483486643315e-06,2.5e-07,1.318483496944215e-06,2.5e-07,1.318483533586528e-06,2.5e-07,1.31848352867179e-06,2.5e-07,1.318483527910625e-06,2.5e-07,1.318483496431771e-06,2.5e-07,1.318583861920504e-06,2.5e-07,1.199830567354228,2.5e-07,1.199830567354502,2.5e-07,1.199830567354227,2.5e-07,1.318583837796273e-06,2.5e-07,1.318483500361588e-06,2.5e-07,1.318483527009404e-06,2.5e-07,1.318483492738266e-06,2.5e-07,1.318576213981105e-06,2.5e-07,1.31865525939626e-06,2.5e-07,1.318761405288843e-06,2.5e-07,1.318660208274124e-06,2.5e-07,1.318483459562509e-06,2.5e-07,1.318483494935798e-06,2.5e-07,1.318483524460849e-06,2.5e-07,1.318483496072685e-06,2.5e-07,1.318571323188175e-06,2.5e-07,1.318567685743339e-06,2.5e-07,1.318656516419602e-06,2.5e-07,1.318572334285792e-06,2.5e-07,1.318570331278137e-06,2.5e-07,1.318483495792703e-06,2.5e-07,1.318483530378274e-06,2.5e-07,1.318483490812457e-06,2.5e-07,1.318583833043215e-06,2.5e-07,1.199830567354233,2.5e-07,1.19983056735452,2.5e-07,1.199830567354236,2.5e-07,1.318583807383294e-06,2.5e-07,1.318483495619992e-06,2.5e-07,1.31848352454325e-06,2.5e-07,1.318483493112443e-06,2.5e-07,1.318576205616927e-06,2.5e-07,1.318655254810186e-06,2.5e-07,1.318761400854372e-06,2.5e-07,1.318660210936003e-06,2.5e-07,1.318483461845925e-06,2.5e-07,1.31848349277096e-06,2.5e-07,1.318483526033233e-06,2.5e-07,1.318483517873876e-06,2.5e-07,1.318573093344254e-06,2.5e-07,1.318569277827463e-06,2.5e-07,1.318658385547966e-06,2.5e-07,1.318572367872332e-06,2.5e-07,1.318569987094641e-06,2.5e-07,1.318483511145141e-06,2.5e-07,1.318483526403176e-06,2.5e-07,1.2,2.5e-07,0
1.25e-06,1.31848352569691e-06,1.25e-06,1.318485178672991e-06,1.25e-06,1.318485227756221e-06,1.25e-06,1.318483645479141e-06,1.25e-06,1.318484278997398e-06,1.25e-06,1.318483500567888e-06,1.25e-06,1.318483526268951e-06,1.25e-06,1.318483525529721e-06,1.25e-06,1.34323640690048e-06,1.25e-06,1.367759789473115e-06,1.25e-06,1.367703663760233e-06,1.25e-06,1.199830567354223,1.25e-06,1.343129622003217e-06,1.25e-06,1.318484591894189e-06,1.25e-06,1.318484303005734e-06,1.25e-06,1.318483526257702e-06,1.25e-06,1.367877807497179e-06,1.25e-06,1.367773319456004e-06,1.25e-06,1.346232820706663e-06,1.25e-06,1.199830567354502,1.25e-06,1.347075411695627e-06,1.25e-06,1.343189602638853e-06,1.25e-06,1.343210535398644e-06,1.25e-06,1.318483525173262e-06,1.25e-06,1.367895003383408e-06,1.25e-06,1.392985752761471e-06,1.25e-06,1.393379170409863e-06,1.25e-06,1.1998305673545,1.25e-06,1.392593749520858e-06,1.25e-06,1.343211589505185e-06,1.25e-06,1.343218755222608e-06,1.25e-06,1.318483525839505e-06,1.25e-06,1.367888424106525e-06,1.25e-06,1.417331365158397e-06,1.25e-06,1.392220373029793e-06,1.25e-06,1.199830567354501,1.25e-06,1.392181751702362e-06,1.25e-06,1.343212262108709e-06,1.25e-06,1.343228045548679e-06,1.25e-06,1.318483526112274e-06,1.25e-06,1.36787788022886e-06,1.25e-06,1.392946276203784e-06,1.25e-06,1.363379173785002e-06,1.25e-06,1.199830567354502,1.25e-06,1.346958322280442e-06,1.25e-06,1.343186251541406e-06,1.25e-06,1.343209613209936e-06,1.25e-06,1.318483526140543e-06,1.25e-06,1.367895089252815e-06,1.25e-06,1.367814393332098e-06,1.25e-06,1.368229183078169e-06,1.25e-06,1.199830567354214,1.25e-06,1.392593216537122e-06,1.25e-06,1.343212453895761e-06,1.25e-06,1.34321872850702e-06,1.25e-06,1.31848352611469e-06,1.25e-06,1.343279781417443e-06,1.25e-06,1.343258667136847e-06,1.25e-06,1.343271017819973e-06,1.25e-06,1.343226633811587e-06,1.25e-06,1.36784373432533e-06,1.25e-06,1.367852048942229e-06,1.25e-06,1.343259315103132e-06,1.25e-06,1.318483526092715e-06,1.25e-06,1.2,1.25e-06,0
2.25e-06,1.318483527249799e-06,2.25e-06,1.319757088522452e-06,2.25e-06,1.319748643019217e-06,2.25e-06,1.319528321577954e-06,2.25e-06,1.318483335124197e-06,2.25e-06,1.318483460788495e-06,2.25e-06,1.31848352601055e-06,2.25e-06,1.318483526731957e-06,2.25e-06,1.318483552415999e-06,2.25e-06,1.319794271428361e-06,2.25e-06,1.318482609724884e-06,2.25e-06,1.317347229794052e-06,2.25e-06,1.32109662895978e-06,2.25e-06,1.319793918753954e-06,2.25e-06,1.318483522574027e-06,2.25e-06,1.318483525705803e-06,2.25e-06,1.31660188861367e-06,2.25e-06,1.3181493040289e-06,2.25e-06,1.199830567354513,2.25e-06,1.19983056735611,2.25e-06,1.199830567355897,2.25e-06,1.319231518150648e-06,2.25e-06,1.318482393070441e-06,2.25e-06,1.318483526862585e-06,2.25e-06,1.314682423319804e-06,2.25e-06,1.316796465327059e-06,2.25e-06,1.199830567354237,2.25e-06,1.19983056735424,2.25e-06,1.19983056735424,2.25e-06,1.315431283748236e-06,2.25e-06,1.315075774581436e-06,2.25e-06,1.318483525920642e-06,2.25e-06,1.312782913553371e-06,2.25e-06,1.314893776575301e-06,2.25e-06,1.199830567354239,2.25e-06,1.199830567354242,2.25e-06,1.199830567354241,2.25e-06,1.318483296880289e-06,2.25e-06,1.318483346203476e-06,2.25e-06,1.318483526260799e-06,2.25e-06,1.314624530311378e-06,2.25e-06,1.316856708648242e-06,2.25e-06,1.199830567354514,2.25e-06,1.199830567354243,2.25e-06,1.199830567354518,2.25e-06,1.318482401996005e-06,2.25e-06,1.31848239929879e-06,2.25e-06,1.318483526336091e-06,2.25e-06,1.316555625047216e-06,2.25e-06,1.318357683723876e-06,2.25e-06,1.319220373106513e-06,2.25e-06,1.316629845424327e-06,2.25e-06,1.31544257639216e-06,2.25e-06,1.315209719880267e-06,2.25e-06,1.315079490622477e-06,2.25e-06,1.318483526345051e-06,2.25e-06,1.318483536866708e-06,2.25e-06,1.320147292105859e-06,2.25e-06,1.320144623674344e-06,2.25e-06,1.319695664251092e-06,2.25e-06,1.318483288970974e-06,2.25e-06,1.318483309566119e-06,2.25e-06,1.318483327982468e-06,2.25e-06,1.318483526212379e-06,2.25e-06,1.2,2.25e-06,0
3.249999999999999e-06,1.318483526675737e-06,3.249999999999999e-06,1.318483684758424e-06,3.249999999999999e-06,1.318484903560683e-06,3.249999999999999e-06,1.318483720513533e-06,3.249999999999999e-06,1.318483442326301e-06,3.249999999999999e-06,1.318483484282669e-06,3.249999999999999e-06,1.318483526313329e-06,3.249999999999999e-06,1.318483526393467e-06,3.249999999999999e-06,1.31848352635708e-06,3.249999999999999e-06,1.318483782401545e-06,3.249999999999999e-06,1.335550844605698e-06,3.249999999999999e-06,1.199830567354491,3.249999999999999e-06,1.318484164998379e-06,3.249999999999999e-06,1.318483951549705e-06,3.249999999999999e-06,1.318483526386437e-06,3.249999999999999e-06,1.318483526560151e-06,3.249999999999999e-06,1.318483843994212e-06,3.249999999999999e-06,1.318484039140411e-06,3.249999999999999e-06,1.199830567352298,3.249999999999999e-06,1.328394267904095e-06,3.249999999999999e-06,1.199830567354497,3.249999999999999e-06,1.318484010147385e-06,3.249999999999999e-06,1.318484566223737e-06,3.249999999999999e-06,1.318483484957284e-06,3.249999999999999e-06,1.332000380695032e-06,3.249999999999999e-06,1.19983056735449,3.249999999999999e-06,1.329385878208341e-06,3.249999999999999e-06,1.322003296756044e-06,3.249999999999999e-06,1.319609991208657e-06,3.249999999999999e-06,1.199830567354492,3.249999999999999e-06,1.334193978737271e-06,3.249999999999999e-06,1.318484657467668e-06,3.249999999999999e-06,1.334107490126756e-06,3.249999999999999e-06,1.199830567354486,3.249999999999999e-06,1.340774508237803e-06,3.249999999999999e-06,1.32156687946575e-06,3.249999999999999e-06,1.32026404512604e-06,3.249999999999999e-06,1.199830567354486,3.249999999999999e-06,1.347264110894775e-06,3.249999999999999e-06,1.329796140956918e-06,3.249999999999999e-06,1.347535969390027e-06,3.249999999999999e-06,1.348745282782066e-06,3.249999999999999e-06,1.199830567352934,3.249999999999999e-06,1.31962567133075e-06,3.249999999999999e-06,1.199830567354592,3.249999999999999e-06,1.347353325270338e-06,3.249999999999999e-06,1.346963567348207e-06,3.249999999999999e-06,1.32962965408749e-06,3.249999999999999e-06,1.334295383028741e-06,3.249999999999999e-06,1.334229578298506e-06,3.249999999999999e-06,1.36849982580448e-06,3.249999999999999e-06,1.199830567354546,3.249999999999999e-06,1.335513641033001e-06,3.249999999999999e-06,1.335545544532826e-06,3.249999999999999e-06,1.318482182934305e-06,3.249999999999999e-06,1.318482779662987e-06,3.249999999999999e-06,1.318483526051112e-06,3.249999999999999e-06,1.318483000713249e-06,3.249999999999999e-06,1.335763773755266e-06,3.249999999999999e-06,1.351407516695622e-06,3.249999999999999e-06,1.351572647893125e-06,3.249999999999999e-06,1.334310839388715e-06,3.249999999999999e-06,1.318483620805474e-06,3.249999999999999e-06,1.318483621562772e-06,3.249999999999999e-06,1.2,3.249999999999999e-06,0
4.249999999999999e-06,1.318483524514727e-06,4.249999999999999e-06,1.318486318723145e-06,4.249999999999999e-06,1.318486324245073e-06,4.249999999999999e-06,1.31848352514035e-06,4.249999999999999e-06,1.318483526503946e-06,4.249999999999999e-06,1.318483526270696e-06,4.249999999999999e-06,1.318483525972271e-06,4.249999999999999e-06,1.318483526012739e-06,4.249999999999999e-06,1.318483526655334e-06,4.249999999999999e-06,1.337790574282864e-06,4.249999999999999e-06,1.337703393144933e-06,4.249999999999999e-06,1.199830567354513,4.249999999999999e-06,1.318483531952103e-06,4.249999999999999e-06,1.318483423283838e-06,4.249999999999999e-06,1.318483525288171e-06,4.249999999999999e-06,1.318483525732006e-06,4.249999999999999e-06,1.33785012994881e-06,4.249999999999999e-06,1.376541921775653e-06,4.249999999999999e-06,1.199830567350306,4.249999999999999e-06,1.199830567354306,4.249999999999999e-06,1.199830567354371,4.249999999999999e-06,1.318484272968319e-06,4.249999999999999e-06,1.318483424784606e-06,4.249999999999999e-06,1.318483525592116e-06,4.249999999999999e-06,1.337926539729914e-06,4.249999999999999e-06,1.199830567342205,4.249999999999999e-06,1.199830567354349,4.249999999999999e-06,1.38675230268656e-06,4.249999999999999e-06,1.199830567354355,4.249999999999999e-06,1.19983056735437,4.249999999999999e-06,1.318487888563168e-06,4.249999999999999e-06,1.318483526802307e-06,4.249999999999999e-06,1.337946401618606e-06,4.249999999999999e-06,1.199830567354406,4.249999999999999e-06,1.199830567354347,4.249999999999999e-06,1.369039890790259e-06,4.249999999999999e-06,1.19983056735436,4.249999999999999e-06,1.199830567354365,4.249999999999999e-06,1.327723789620489e-06,4.249999999999999e-06,1.318483524521022e-06,4.249999999999999e-06,1.318483900694853e-06,4.249999999999999e-06,1.318484194719729e-06,4.249999999999999e-06,1.199830567354382,4.249999999999999e-06,1.199830567340639,4.249999999999999e-06,1.19983056735437,4.249999999999999e-06,1.327723921172608e-06,4.249999999999999e-06,1.326914990425125e-06,4.249999999999999e-06,1.318483525691843e-06,4.249999999999999e-06,1.318483903799629e-06,4.249999999999999e-06,1.3184844391165e-06,4.249999999999999e-06,1.33152568305847e-06,4.249999999999999e-06,1.199830567354514,4.249999999999999e-06,1.331191481559226e-06,4.249999999999999e-06,1.331150271157861e-06,4.249999999999999e-06,1.318483261247103e-06,4.249999999999999e-06,1.318483528019243e-06,4.249999999999999e-06,1.318483526844248e-06,4.249999999999999e-06,1.318484043136375e-06,4.249999999999999e-06,1.318481088874152e-06,4.249999999999999e-06,1.318483357343158e-06,4.249999999999999e-06,1.31848135935594e-06,4.249999999999999e-06,1.31848153102189e-06,4.249999999999999e-06,1.318483753715546e-06,4.249999999999999e-06,1.318483525965942e-06,4.249999999999999e-06,1.2,4.249999999999999e-06,0
5.249999999999999e-06,1.318483525872173e-06,5.249999999999999e-06,1.318482860331064e-06,5.249999999999999e-06,1.318483527116799e-06,5.249999999999999e-06,1.318483531004621e-06,5.249999999999999e-06,1.318483525697667e-06,5.249999999999999e-06,1.318482611001184e-06,5.249999999999999e-06,1.318483526721675e-06,5.249999999999999e-06,1.318483526840026e-06,5.249999999999999e-06,1.318483524072779e-06,5.249999999999999e-06,1.312131509195477e-06,5.249999999999999e-06,1.199830567354513,5.249999999999999e-06,1.199830567354513,5.249999999999999e-06,1.199830567354513,5.249999999999999e-06,1.305663423734374e-06,5.249999999999999e-06,1.318482609406156e-06,5.249999999999999e-06,1.318483527076716e-06,5.249999999999999e-06,1.318483525518745e-06,5.249999999999999e-06,1.199830567356012,5.249999999999999e-06,1.330287877583429e-06,5.249999999999999e-06,1.318516078866819e-06,5.249999999999999e-06,1.328657640445853e-06,5.249999999999999e-06,1.199830567356535,5.249999999999999e-06,1.305547574064455e-06,5.249999999999999e-06,1.31848352597822e-06,5.249999999999999e-06,1.305289988798529e-06,5.249999999999999e-06,1.31851120467059e-06,5.249999999999999e-06,1.318526026170753e-06,5.249999999999999e-06,1.305301879252897e-06,5.249999999999999e-06,1.318516032077129e-06,5.249999999999999e-06,1.318508710313698e-06,5.249999999999999e-06,1.318490105034755e-06,5.249999999999999e-06,1.318483526280116e-06,5.249999999999999e-06,1.291163383531429e-06,5.249999999999999e-06,1.313776316562893e-06,5.249999999999999e-06,1.313791138244524e-06,5.249999999999999e-06,1.295082048343414e-06,5.249999999999999e-06,1.31852910610629e-06,5.249999999999999e-06,1.317117970423844e-06,5.249999999999999e-06,1.318491071654498e-06,5.249999999999999e-06,1.318483524605645e-06,5.249999999999999e-06,1.277106062213319e-06,5.249999999999999e-06,1.199830567355252,5.249999999999999e-06,1.318507196272691e-06,5.249999999999999e-06,1.309068943060333e-06,5.249999999999999e-06,1.336166432176307e-06,5.249999999999999e-06,1.199830567354883,5.249999999999999e-06,1.318492996501879e-06,5.249999999999999e-06,1.318483524293345e-06,5.249999999999999e-06,1.290813983601564e-06,5.249999999999999e-06,1.27811524723749e-06,5.249999999999999e-06,1.199830567354473,5.249999999999999e-06,1.199830567356653,5.249999999999999e-06,1.199830567354192,5.249999999999999e-06,1.318481616271795e-06,5.249999999999999e-06,1.318482587195162e-06,5.249999999999999e-06,1.318483525637496e-06,5.249999999999999e-06,1.304873076390135e-06,5.249999999999999e-06,1.277583101868843e-06,5.249999999999999e-06,1.277185692565489e-06,5.249999999999999e-06,1.262356577349759e-06,5.249999999999999e-06,1.277058192009123e-06,5.249999999999999e-06,1.290288279012176e-06,5.249999999999999e-06,1.30486346573494e-06,5.249999999999999e-06,1.318483526574625e-06,5.249999999999999e-06,1.2,5.249999999999999e-06,0
6.249999999999999e-06,1.318483527941741e-06,6.249999999999999e-06,1.326810688181361e-06,6.249999999999999e-06,1.336414566481559e-06,6.249999999999999e-06,1.19983056735451,6.249999999999999e-06,1.318483529045937e-06,6.249999999999999e-06,1.318486865732635e-06,6.249999999999999e-06,1.318483528872375e-06,6.249999999999999e-06,1.318483524085516e-06,6.249999999999999e-06,1.332446151720737e-06,6.249999999999999e-06,1.350270006367281e-06,6.249999999999999e-06,1.199830567345473,6.249999999999999e-06,1.19983056735435,6.249999999999999e-06,1.199830567354238,6.249999999999999e-06,1.33540105506292e-06,6.249999999999999e-06,1.318485822249566e-06,6.249999999999999e-06,1.318485646953824e-06,6.249999999999999e-06,1.331335408794656e-06,6.249999999999999e-06,1.333036438295925e-06,6.249999999999999e-06,1.199830567354503,6.249999999999999e-06,1.199830567354351,6.249999999999999e-06,1.199830567354506,6.249999999999999e-06,1.330542740576371e-06,6.249999999999999e-06,1.325286723493597e-06,6.249999999999999e-06,1.323844206928431e-06,6.249999999999999e-06,1.327573730448846e-06,6.249999999999999e-06,1.330593933446957e-06,6.249999999999999e-06,1.32306652255704e-06,6.249999999999999e-06,1.325009566691386e-06,6.249999999999999e-06,1.325923731967577e-06,6.249999999999999e-06,1.336543187928673e-06,6.249999999999999e-06,1.329521856728046e-06,6.249999999999999e-06,1.32323453132652e-06,6.249999999999999e-06,1.330137583976491e-06,6.249999999999999e-06,1.344519394537924e-06,6.249999999999999e-06,1.325213001586586e-06,6.249999999999999e-06,1.336728953738313e-06,6.249999999999999e-06,1.332154281639015e-06,6.249999999999999e-06,1.344295570336616e-06,6.249999999999999e-06,1.323061710583846e-06,6.249999999999999e-06,1.322642103773243e-06,6.249999999999999e-06,1.325676672527578e-06,6.249999999999999e-06,1.332249360258895e-06,6.249999999999999e-06,1.199830567350557,6.249999999999999e-06,1.19983056734296,6.249999999999999e-06,1.199830567346551,6.249999999999999e-06,1.331028339338921e-06,6.249999999999999e-06,1.325302135018644e-06,6.249999999999999e-06,1.323912973827731e-06,6.249999999999999e-06,1.322913878631467e-06,6.249999999999999e-06,1.322531173657869e-06,6.249999999999999e-06,1.199830567354378,6.249999999999999e-06,1.199830567354369,6.249999999999999e-06,1.199830567354329,6.249999999999999e-06,1.337088551358973e-06,6.249999999999999e-06,1.329653340517654e-06,6.249999999999999e-06,1.323303821201055e-06,6.249999999999999e-06,1.322062052733817e-06,6.249999999999999e-06,1.322658012096495e-06,6.249999999999999e-06,1.318483800059063e-06,6.249999999999999e-06,1.199830567354513,6.249999999999999e-06,1.378629586285228e-06,6.249999999999999e-06,1.360891238338183e-06,6.249999999999999e-06,1.347759669736382e-06,6.249999999999999e-06,1.322749087025539e-06,6.249999999999999e-06,1.2,6.249999999999999e-06,0
7.249999999999998e-06,1.318483516139453e-06,7.249999999999998e-06,1.327987752009103e-06,7.249999999999998e-06,1.199830567354249,7.249999999999998e-06,1.199830567354526,7.249999999999998e-06,1.19983056735425,7.249999999999998e-06,1.318288831617004e-06,7.249999999999998e-06,1.318483525665725e-06,7.249999999999998e-06,1.31848352493246e-06,7.249999999999998e-06,1.318483494373462e-06,7.249999999999998e-06,1.33924324272674e-06,7.249999999999998e-06,1.317747710090935e-06,7.249999999999998e-06,1.322531274491626e-06,7.249999999999998e-06,1.317383911910356e-06,7.249999999999998e-06,1.318483750306301e-06,7.249999999999998e-06,1.31848371433446e-06,7.249999999999998e-06,1.318483526112476e-06,7.249999999999998e-06,1.318483506918534e-06,7.249999999999998e-06,1.339341311387003e-06,7.249999999999998e-06,1.199830567354194,7.249999999999998e-06,1.31644843060187e-06,7.249999999999998e-06,1.199830567354173,7.249999999999998e-06,1.323630797207261e-06,7.249999999999998e-06,1.324016555564517e-06,7.249999999999998e-06,1.318483528827515e-06,7.249999999999998e-06,1.318483502716732e-06,7.249999999999998e-06,1.331954568528082e-06,7.249999999999998e-06,1.354980471729872e-06,7.249999999999998e-06,1.199830567354222,7.249999999999998e-06,1.318483505630208e-06,7.249999999999998e-06,1.318482077422909e-06,7.249999999999998e-06,1.318482006979249e-06,7.249999999999998e-06,1.318483526536566e-06,7.249999999999998e-06,1.318483527174418e-06,7.249999999999998e-06,1.320493439677462e-06,7.249999999999998e-06,1.34106801723456e-06,7.249999999999998e-06,1.199830567354508,7.249999999999998e-06,1.318483502630619e-06,7.249999999999998e-06,1.318483467981286e-06,7.249999999999998e-06,1.318483518435816e-06,7.249999999999998e-06,1.318483526685163e-06,7.249999999999998e-06,1.318483502160541e-06,7.249999999999998e-06,1.320029679467763e-06,7.249999999999998e-06,1.199830567356318,7.249999999999998e-06,1.317489836124151e-06,7.249999999999998e-06,1.19983056735425,7.249999999999998e-06,1.318287856546556e-06,7.249999999999998e-06,1.318483530663546e-06,7.249999999999998e-06,1.318483527578297e-06,7.249999999999998e-06,1.318483507984032e-06,7.249999999999998e-06,1.318482427334576e-06,7.249999999999998e-06,1.316263108127471e-06,7.249999999999998e-06,1.317621038540662e-06,7.249999999999998e-06,1.317745965304929e-06,7.249999999999998e-06,1.318483688523672e-06,7.249999999999998e-06,1.318483656057566e-06,7.249999999999998e-06,1.318483527879839e-06,7.249999999999998e-06,1.318483516941851e-06,7.249999999999998e-06,1.318270011983419e-06,7.249999999999998e-06,1.19983056735411,7.249999999999998e-06,1.199830567354464,7.249999999999998e-06,1.199830567354199,7.249999999999998e-06,1.327712062182623e-06,7.249999999999998e-06,1.328056422836894e-06,7.249999999999998e-06,1.318483527629699e-06,7.249999999999998e-06,1.2,7.249999999999998e-06,0
8.249999999999999e-06,1.363056597365219e-06,8.249999999999999e-06,1.318466419612541e-06,8.249999999999999e-06,1.361403382748704e-06,8.249999999999999e-06,1.199830567354513,8.249999999999999e-06,1.359820111499312e-06,8.249999999999999e-06,1.31846454699653e-06,8.249999999999999e-06,1.318483525439289e-06,8.249999999999999e-06,1.318483527649127e-06,8.249999999999999e-06,1.363201773933444e-06,8.249999999999999e-06,1.384277056314209e-06,8.249999999999999e-06,1.199830567352363,8.249999999999999e-06,1.361964696590555e-06,8.249999999999999e-06,1.199830567352405,8.249999999999999e-06,1.362302765086549e-06,8.249999999999999e-06,1.318483535282767e-06,8.249999999999999e-06,1.318483526302523e-06,8.249999999999999e-06,1.318483523399997e-06,8.249999999999999e-06,1.338368682508049e-06,8.249999999999999e-06,1.318350449647234e-06,8.249999999999999e-06,1.199830567352063,8.249999999999999e-06,1.321469635810862e-06,8.249999999999999e-06,1.36354956735341e-06,8.249999999999999e-06,1.318485337871104e-06,8.249999999999999e-06,1.318483525873625e-06,8.249999999999999e-06,1.345430290170106e-06,8.249999999999999e-06,1.364769440914491e-06,8.249999999999999e-06,1.199830567354187,8.249999999999999e-06,1.199830567354247,8.249999999999999e-06,1.199830567353737,8.249999999999999e-06,1.40634739758413e-06,8.249999999999999e-06,1.362672432797855e-06,8.249999999999999e-06,1.318483527521292e-06,8.249999999999999e-06,1.345313959396406e-06,8.249999999999999e-06,1.318481037865217e-06,8.249999999999999e-06,1.199830567354267,8.249999999999999e-06,1.19983056735427,8.249999999999999e-06,1.199830567354296,8.249999999999999e-06,1.407172527902443e-06,8.249999999999999e-06,1.362986330136559e-06,8.249999999999999e-06,1.318483526009647e-06,8.249999999999999e-06,1.345230299714042e-06,8.249999999999999e-06,1.344957012070675e-06,8.249999999999999e-06,1.325345738430121e-06,8.249999999999999e-06,1.199830567354257,8.249999999999999e-06,1.343795483010405e-06,8.249999999999999e-06,1.408248343754109e-06,8.249999999999999e-06,1.363168329579731e-06,8.249999999999999e-06,1.318483526319238e-06,8.249999999999999e-06,1.318483528720658e-06,8.249999999999999e-06,1.362327677960107e-06,8.249999999999999e-06,1.199830567353827,8.249999999999999e-06,1.406101933807482e-06,8.249999999999999e-06,1.199830567353126,8.249999999999999e-06,1.406295491001553e-06,8.249999999999999e-06,1.362684351915227e-06,8.249999999999999e-06,1.318483526290758e-06,8.249999999999999e-06,1.318483526592958e-06,8.249999999999999e-06,1.362766606494814e-06,8.249999999999999e-06,1.318444481566214e-06,8.249999999999999e-06,1.199830567350044,8.249999999999999e-06,1.346030912745115e-06,8.249999999999999e-06,1.362639505347532e-06,8.249999999999999e-06,1.318480862183503e-06,8.249999999999999e-06,1.31848352568771e-06,8.249999999999999e-06,1.2,8.249999999999999e-06,0
9.25e-06,1.318483527155447e-06,9.25e-06,1.318483514495429e-06,9.25e-06,1.318483526821628e-06,9.25e-06,1.199830567354513,9.25e-06,1.318483526386516e-06,9.25e-06,1.318483525959259e-06,9.25e-06,1.318483526381257e-06,9.25e-06,1.318483527877125e-06,9.25e-06,1.318483526668651e-06,9.25e-06,1.318483700449502e-06,9.25e-06,1.199830567354229,9.25e-06,1.317870980577998e-06,9.25e-06,1.199830567354229,9.25e-06,1.318483519717957e-06,9.25e-06,1.318483527057075e-06,9.25e-06,1.318483526140542e-06,9.25e-06,1.316555510600055e-06,9.25e-06,1.31687320859878e-06,9.25e-06,1.317955976332911e-06,9.25e-06,1.318283020016994e-06,9.25e-06,1.317989127491363e-06,9.25e-06,1.318567686898175e-06,9.25e-06,1.318483514082392e-06,9.25e-06,1.318483526281175e-06,9.25e-06,1.316463750180608e-06,9.25e-06,1.316807816913824e-06,9.25e-06,1.318672754748038e-06,9.25e-06,1.31947739865709e-06,9.25e-06,1.318702108621006e-06,9.25e-06,1.318567744689652e-06,9.25e-06,1.318483656391497e-06,9.25e-06,1.318483525238253e-06,9.25e-06,1.314340162114035e-06,9.25e-06,1.310436658069132e-06,9.25e-06,1.319861902111724e-06,9.25e-06,1.319381647051168e-06,9.25e-06,1.319962936706465e-06,9.25e-06,1.318569098747936e-06,9.25e-06,1.318483552130819e-06,9.25e-06,1.318483526633182e-06,9.25e-06,1.316430707549601e-06,9.25e-06,1.312373951057686e-06,9.25e-06,1.310897340441818e-06,9.25e-06,1.319681729089695e-06,9.25e-06,1.317200369394223e-06,9.25e-06,1.318570529907914e-06,9.25e-06,1.31848351377894e-06,9.25e-06,1.31848352631126e-06,9.25e-06,1.316361056646758e-06,9.25e-06,1.31195790234533e-06,9.25e-06,1.199830567354087,9.25e-06,1.315118640093479e-06,9.25e-06,1.199830567354629,9.25e-06,1.318483717146219e-06,9.25e-06,1.31848365902654e-06,9.25e-06,1.318483526300977e-06,9.25e-06,1.318483526608966e-06,9.25e-06,1.31635568317804e-06,9.25e-06,1.314037461919375e-06,9.25e-06,1.199830567354482,9.25e-06,1.318483526415461e-06,9.25e-06,1.318483613188124e-06,9.25e-06,1.318483553432434e-06,9.25e-06,1.31848352603717e-06,9.25e-06,1.2,9.25e-06,0
